num_files,num_lines,rank_commit_size
10,148,1
10,144,1
10,143,1
10,142,1
10,138,1
10,132,1
10,129,1
10,125,1
10,118,1
10,114,1
10,104,1
10,98,1
10,92,1
10,79,1
10,52,1
10,48,1
10,43,1
10,40,1
10,35,1
10,17,1
10,1244,2
10,469,2
10,201,2
10,42,2
10,34,3
9,149,1
9,131,1
9,128,1
9,127,1
9,123,1
9,120,1
9,112,1
9,106,1
9,100,1
9,92,1
9,85,1
9,75,1
9,55,1
9,35,1
9,32,1
9,12,1
9,11,1
9,10,1
9,162,2
9,108,2
9,50,3
9,40,3
8,150,1
8,148,1
8,135,1
8,118,1
8,112,1
8,98,1
8,74,1
8,50,1
8,39,1
8,38,1
8,20,1
8,9,1
8,550,2
8,316,2
8,119,2
7,149,1
7,141,1
7,139,1
7,136,1
7,128,1
7,109,1
7,108,1
7,97,1
7,96,1
7,92,1
7,89,1
7,80,1
7,70,1
7,68,1
7,40,1
7,39,1
7,38,1
7,31,1
7,28,1
7,24,1
7,20,1
7,18,1
7,15,1
7,7,1
7,312,2
7,50,3
7,235,3
7,25,3
6,146,1
6,140,1
6,122,1
6,117,1
6,113,1
6,112,1
6,111,1
6,94,1
6,86,1
6,84,1
6,72,2
6,67,1
6,65,1
6,59,1
6,50,3
6,34,1
6,33,1
6,28,1
6,7,1
6,256,2
6,249,2
6,165,2
6,100,2
6,9,2
6,5,2
6,191,3
6,60,3
6,12,4
6,54,4
5,144,1
5,139,1
5,136,1
5,124,1
5,111,1
5,97,1
5,91,1
5,89,1
5,81,1
5,79,1
5,71,1
5,68,1
5,55,1
5,50,1
5,38,1
5,36,2
5,27,1
5,280,2
5,127,2
5,11,2
5,8,2
5,404,3
5,96,3
5,95,3
5,31,3
5,22,4
5,58,4
5,40,4
5,12,4
5,142,5
4,145,1
4,137,1
4,136,1
4,123,1
4,115,1
4,84,2
4,75,1
4,59,1
4,58,1
4,28,1
4,390,2
4,134,2
4,110,2
4,56,2
4,51,3
4,30,3
4,27,2
4,21,2
4,15,2
4,11,2
4,5,2
4,4,2
4,83,3
4,68,3
4,67,3
4,45,4
4,40,4
4,38,4
4,18,4
4,16,4
4,19,5
3,127,1
3,108,1
3,105,1
3,75,1
3,71,1
3,69,1
3,37,1
3,277,2
3,202,2
3,167,3
3,140,2
3,132,2
3,116,2
3,110,2
3,45,2
3,20,3
3,15,2
3,208,3
3,144,3
3,119,3
3,72,3
3,43,4
3,36,4
3,32,4
3,16,4
3,6,4
3,59,4
3,46,4
3,28,4
3,26,4
3,21,4
3,8,4
3,44,5
3,30,5
3,24,5
3,18,5
3,14,5
3,10,5
3,9,5
2,146,1
2,135,1
2,128,1
2,120,1
2,108,1
2,103,1
2,83,1
2,77,1
2,71,1
2,70,1
2,69,1
2,63,1
2,58,1
2,50,1
2,155,2
2,143,2
2,114,2
2,111,2
2,43,2
2,30,2
2,26,4
2,21,3
2,17,3
2,12,4
2,72,3
2,66,3
2,62,3
2,51,4
2,32,4
2,27,4
2,7,4
2,67,4
2,53,4
2,38,4
2,35,4
2,25,4
2,20,4
2,8,4
2,4,4
2,39,5
2,33,5
2,31,5
2,29,5
2,28,5
2,24,5
2,23,5
2,19,5
2,18,5
2,16,5
2,15,5
2,14,5
2,11,5
2,6,5
2,5,5
1,132,1
1,131,1
1,130,1
1,115,1
1,112,1
1,107,1
1,104,1
1,84,1
1,83,1
1,82,1
1,70,3
1,50,1
1,43,1
1,41,1
1,35,1
1,168,2
1,144,2
1,108,2
1,38,3
1,37,2
1,32,4
1,31,2
1,30,3
1,3,4
1,78,4
1,75,3
1,2,4
1,1,4
1,72,4
1,62,4
1,48,4
1,36,4
1,34,4
1,17,4
1,16,4
1,9,4
1,4,4
1,42,5
1,29,5
1,28,5
1,26,5
1,25,5
1,24,5
1,23,5
1,22,5
1,20,5
1,19,5
1,15,5
1,14,5
1,13,5
1,12,5
1,11,5
1,10,5
1,8,5
1,7,5
1,6,5
1,5,5
274,2743,2
265,1070,2
188,4458,2
165,2529,2
119,1528,2
73,1220,2
45,1259,2
44,1142,2
36,1490,2
30,6995,2
28,118,2
18,529,2
17,127,2
17,39,3
16,432,2
16,309,2
16,127,2
15,72,2
15,39,3
14,81,2
13,964,2
13,165,2
13,112,2
13,64,2
12,646,2
12,186,2
11,1878,2
11,189,2
11,22,3
